Location,Post_Office,Postcode,State
Taman Simpang Tiga,Kangar,01000,Perlis
Taman Sri Guar Syed Alwi,Kangar,01000,Perlis
Taman Suriani,Kangar,01000,Perlis
Taman Syed Alwi,Kangar,01000,Perlis
Taman Ten,Kangar,01000,Perlis
Taman Teratai,Kangar,01000,Perlis
Taman Tok Peduka,Kangar,01000,Perlis
Taman Utama,Kangar,01000,Perlis
Taman Utama Indah,Kangar,01000,Perlis
Taman Utara,Kangar,01000,Perlis
Taman Wira,Kangar,01000,Perlis
Titi Chai,Kangar,01000,Perlis
Titi Midin,Kangar,01000,Perlis
Tok Peduka,Kangar,01000,Perlis
Ujung Batu,Kangar,01000,Perlis
Mahkamah Sesyen,Kangar,01506,Perlis
Mahkamah Tinggi,Kangar,01506,Perlis
Biro Pengaduan Awam,Kangar,01505,Perlis
DYMM Tuanku Raja Perlis,Kangar,01500,Perlis
YAB Menteri Besar Perlis,Kangar,01502,Perlis
Jabatan Perangkaan,Kangar,01514,Perlis
Setiausaha Kerajaan Negeri,Kangar,01503,Perlis
Biro Bantuan Guaman,Kangar,01504,Perlis
Amanah Raya Berhad,Kangar,01508,Perlis
Jabatan Pemegang Harta,Kangar,01516,Perlis
Penasihat Undang-Undang Negeri,Kangar,01512,Perlis
Jabatan Perpaduan Negara,Kangar,01517,Perlis
Jabatan Audit Negeri,Kangar,01518,Perlis
Setiausaha Keselamatan Negeri,Kangar,01524,Perlis
Unit Penyelidikan Sosio Ekonomi,Kangar,01529,Perlis
Jabatan Sumber Manusia,Kangar,01532,Perlis
Jabatan Keselamatan Sosial (Perkeso),Kangar,01538,Perlis
Jabatan Tenaga Rakyat,Kangar,01540,Perlis
Jabatan Imigresen,Kangar,01550,Perlis
Pejabat Rela Negeri,Kangar,01546,Perlis
Unit Pencegah Penyeludupan,Kangar,01546,Perlis
Jabatan Pendaftaran Negara,Kangar,01551,Perlis
Jabatan Pertahanan Awam,Kangar,01556,Perlis
Ketua Polis Negeri,Kangar,01560,Perlis
Jabatan Kebajikan Masyarakat,Kangar,01564,Perlis
Perpustakaan Awam Negeri,Kangar,01572,Perlis
Jabatan Kerja Raya,Kangar,01582,Perlis
Jabatan Tanah & Galian,Kangar,01576,Perlis
Hospital Kangar,Kangar,01586,Perlis
Jabatan Kesihatan,Kangar,01590,Perlis
Jabatan Ukur & Pemetaan,Kangar,01578,Perlis
Jabatan Belia & Sukan,Kangar,01570,Perlis
Akauntan Negeri,Kangar,01594,Perlis
Pegawai Kewangan Negeri,Kangar,01592,Perlis
Jabatan Kastam & Eksais Di Raja,Kangar,01596,Perlis
Lembaga Hasil Dalam Negeri,Kangar,01600,Perlis
Jabatan Pembangunan Koperasi,Kangar,01608,Perlis
Jabatan Pendidikan,Kangar,01604,Perlis
Jabatan Kemajuan Masyarakat (Kemas),Kangar,01606,Perlis
Bahagian Perlesenan - Kementerian Penerangan,Kangar,01610,Perlis
Kumpulan Wang Simpanan Pekerja,Kangar,01598,Perlis
Pejabat Mara Negeri,Kangar,01609,Perlis
Jabatan Penyiaran,Kangar,01614,Perlis
Jabatan Pengangkutan Jalan,Kangar,01620,Perlis
Unit Penguatkuasa Kem. Perdagangan & Perindustrian,Kangar,01622,Perlis
Jabatan Penerangan,Kangar,01612,Perlis
Jabatan Perikanan,Kangar,01628,Perlis
Jabatan Pengairan & Saliran,Kangar,01626,Perlis
Jabatan Pertanian,Kangar,01632,Perlis
Jabatan Haiwan,Kangar,01630,Perlis
Panglima Markas 12 Briged,Kangar,01634,Perlis
Majlis Perbandaran Kangar,Kangar,01644,Perlis
Jabatan Perancang Bandar & Desa,Kangar,01646,Perlis
